,name,freeze_layer
0,model.embed_tokens.weight,True
1,model.layers.0.self_attn.q_proj.weight,True
2,model.layers.0.self_attn.k_proj.weight,True
3,model.layers.0.self_attn.v_proj.weight,True
4,model.layers.0.self_attn.o_proj.weight,True
5,model.layers.0.mlp.gate_proj.weight,True
6,model.layers.0.mlp.up_proj.weight,True
7,model.layers.0.mlp.down_proj.weight,True
8,model.layers.0.input_layernorm.weight,True
9,model.layers.0.post_attention_layernorm.weight,True
10,model.layers.1.self_attn.q_proj.weight,True
11,model.layers.1.self_attn.k_proj.weight,True
12,model.layers.1.self_attn.v_proj.weight,True
13,model.layers.1.self_attn.o_proj.weight,True
14,model.layers.1.mlp.gate_proj.weight,True
15,model.layers.1.mlp.up_proj.weight,True
16,model.layers.1.mlp.down_proj.weight,True
17,model.layers.1.input_layernorm.weight,True
18,model.layers.1.post_attention_layernorm.weight,True
19,model.layers.2.self_attn.q_proj.weight,True
20,model.layers.2.self_attn.k_proj.weight,True
21,model.layers.2.self_attn.v_proj.weight,True
22,model.layers.2.self_attn.o_proj.weight,True
23,model.layers.2.mlp.gate_proj.weight,True
24,model.layers.2.mlp.up_proj.weight,True
25,model.layers.2.mlp.down_proj.weight,False
26,model.layers.2.input_layernorm.weight,True
27,model.layers.2.post_attention_layernorm.weight,True
28,model.layers.3.self_attn.q_proj.weight,True
29,model.layers.3.self_attn.k_proj.weight,True
30,model.layers.3.self_attn.v_proj.weight,True
31,model.layers.3.self_attn.o_proj.weight,True
32,model.layers.3.mlp.gate_proj.weight,True
33,model.layers.3.mlp.up_proj.weight,True
34,model.layers.3.mlp.down_proj.weight,True
35,model.layers.3.input_layernorm.weight,True
36,model.layers.3.post_attention_layernorm.weight,True
37,model.layers.4.self_attn.q_proj.weight,True
38,model.layers.4.self_attn.k_proj.weight,True
39,model.layers.4.self_attn.v_proj.weight,True
40,model.layers.4.self_attn.o_proj.weight,True
41,model.layers.4.mlp.gate_proj.weight,True
42,model.layers.4.mlp.up_proj.weight,True
43,model.layers.4.mlp.down_proj.weight,True
44,model.layers.4.input_layernorm.weight,True
45,model.layers.4.post_attention_layernorm.weight,True
46,model.layers.5.self_attn.q_proj.weight,True
47,model.layers.5.self_attn.k_proj.weight,True
48,model.layers.5.self_attn.v_proj.weight,True
49,model.layers.5.self_attn.o_proj.weight,True
50,model.layers.5.mlp.gate_proj.weight,True
51,model.layers.5.mlp.up_proj.weight,True
52,model.layers.5.mlp.down_proj.weight,True
53,model.layers.5.input_layernorm.weight,True
54,model.layers.5.post_attention_layernorm.weight,True
55,model.layers.6.self_attn.q_proj.weight,True
56,model.layers.6.self_attn.k_proj.weight,True
57,model.layers.6.self_attn.v_proj.weight,True
58,model.layers.6.self_attn.o_proj.weight,True
59,model.layers.6.mlp.gate_proj.weight,True
60,model.layers.6.mlp.up_proj.weight,True
61,model.layers.6.mlp.down_proj.weight,True
62,model.layers.6.input_layernorm.weight,True
63,model.layers.6.post_attention_layernorm.weight,True
64,model.layers.7.self_attn.q_proj.weight,True
65,model.layers.7.self_attn.k_proj.weight,True
66,model.layers.7.self_attn.v_proj.weight,True
67,model.layers.7.self_attn.o_proj.weight,True
68,model.layers.7.mlp.gate_proj.weight,True
69,model.layers.7.mlp.up_proj.weight,True
70,model.layers.7.mlp.down_proj.weight,True
71,model.layers.7.input_layernorm.weight,True
72,model.layers.7.post_attention_layernorm.weight,True
73,model.layers.8.self_attn.q_proj.weight,True
74,model.layers.8.self_attn.k_proj.weight,True
75,model.layers.8.self_attn.v_proj.weight,True
76,model.layers.8.self_attn.o_proj.weight,True
77,model.layers.8.mlp.gate_proj.weight,True
78,model.layers.8.mlp.up_proj.weight,True
79,model.layers.8.mlp.down_proj.weight,True
80,model.layers.8.input_layernorm.weight,True
81,model.layers.8.post_attention_layernorm.weight,True
82,model.layers.9.self_attn.q_proj.weight,True
83,model.layers.9.self_attn.k_proj.weight,True
84,model.layers.9.self_attn.v_proj.weight,True
85,model.layers.9.self_attn.o_proj.weight,True
86,model.layers.9.mlp.gate_proj.weight,True
87,model.layers.9.mlp.up_proj.weight,True
88,model.layers.9.mlp.down_proj.weight,True
89,model.layers.9.input_layernorm.weight,True
90,model.layers.9.post_attention_layernorm.weight,True
91,model.layers.10.self_attn.q_proj.weight,True
92,model.layers.10.self_attn.k_proj.weight,True
93,model.layers.10.self_attn.v_proj.weight,True
94,model.layers.10.self_attn.o_proj.weight,True
95,model.layers.10.mlp.gate_proj.weight,True
96,model.layers.10.mlp.up_proj.weight,True
97,model.layers.10.mlp.down_proj.weight,True
98,model.layers.10.input_layernorm.weight,True
99,model.layers.10.post_attention_layernorm.weight,True
100,model.layers.11.self_attn.q_proj.weight,True
101,model.layers.11.self_attn.k_proj.weight,True
102,model.layers.11.self_attn.v_proj.weight,True
103,model.layers.11.self_attn.o_proj.weight,True
104,model.layers.11.mlp.gate_proj.weight,True
105,model.layers.11.mlp.up_proj.weight,True
106,model.layers.11.mlp.down_proj.weight,True
107,model.layers.11.input_layernorm.weight,True
108,model.layers.11.post_attention_layernorm.weight,True
109,model.layers.12.self_attn.q_proj.weight,True
110,model.layers.12.self_attn.k_proj.weight,True
111,model.layers.12.self_attn.v_proj.weight,True
112,model.layers.12.self_attn.o_proj.weight,True
113,model.layers.12.mlp.gate_proj.weight,True
114,model.layers.12.mlp.up_proj.weight,True
115,model.layers.12.mlp.down_proj.weight,True
116,model.layers.12.input_layernorm.weight,True
117,model.layers.12.post_attention_layernorm.weight,True
118,model.layers.13.self_attn.q_proj.weight,True
119,model.layers.13.self_attn.k_proj.weight,True
120,model.layers.13.self_attn.v_proj.weight,True
121,model.layers.13.self_attn.o_proj.weight,True
122,model.layers.13.mlp.gate_proj.weight,True
123,model.layers.13.mlp.up_proj.weight,True
124,model.layers.13.mlp.down_proj.weight,True
125,model.layers.13.input_layernorm.weight,True
126,model.layers.13.post_attention_layernorm.weight,True
127,model.layers.14.self_attn.q_proj.weight,True
128,model.layers.14.self_attn.k_proj.weight,True
129,model.layers.14.self_attn.v_proj.weight,True
130,model.layers.14.self_attn.o_proj.weight,True
131,model.layers.14.mlp.gate_proj.weight,True
132,model.layers.14.mlp.up_proj.weight,True
133,model.layers.14.mlp.down_proj.weight,True
134,model.layers.14.input_layernorm.weight,True
135,model.layers.14.post_attention_layernorm.weight,True
136,model.layers.15.self_attn.q_proj.weight,True
137,model.layers.15.self_attn.k_proj.weight,True
138,model.layers.15.self_attn.v_proj.weight,True
139,model.layers.15.self_attn.o_proj.weight,True
